id;warehouse_id;city_id;street;house
495;495;82;БУДАЙСКИЙ ПРОЕЗД;7
496;496;424;ул. Тюляева;15
497;497;169;Искровский пр-т;6
501;501;332;ул. Юрина;188Б
508;508;50;ул. Дружбы;74а
514;514;82;ул. Маршала Тухачевского;55
528;528;216;пр-т Дериглазова;123
529;529;377;Ул. Майолик;6, пом.84
530;530;571;ул. Талнахская;63а
532;532;907;ул. Комсомольская;2
535;535;570;ул. Кривощековская;15, корп.1
544;544;1322;ул. Ежи Гедройца;14
545;545;625;ш. Ленинградское;47
548;548;82;пр-д 2-й Грайвороновский проезд;42к4
551;551;408;ул. Малая Боровская;28
565;565;391;ул. Евстафьева;01.сен
579;579;566;пр-кт Космонавтов;47/16
584;584;568;ул. Малая;4 стр. 1
585;585;172;пр-т Шинников;3
588;588;10;пр-т  Строителей;15
592;592;254;ул. Берендеевская;5
594;594;342;пр-т Сююмбике;д.61/2 (45/16)
598;598;943;ул. Майлина;2
602;602;216;ул. Бойцов 9 Дивизии;179Б
623;623;943;Мкр.аксай-4;70Б
628;628;32;ул. Ленина;25А
634;634;169;пр-т Союзный;12с1
636;636;98;ул. Бардина;11 корп. 1
645;645;111;ул. Каховская;19
651;651;1783;пер. Главный;16.фев
662;662;362;ул. Маяковского;33
665;665;411;пр-т Ленина;24
669;669;4;ул. 1-я рабочая;38
672;672;173;ул. Куконковых;141А
677;677;98;ул. Вайнера;51б
679;679;409;пр-т. Пушкина;34
697;697;82;Филевский бульвар;10
705;705;2022;ул. Загира Арухова;101
707;707;424;ул. Красных Партизан;127
712;712;82;ул. Вавилова;97
737;737;104;ул. Свердлова;65
753;753;328;пр-т Фрунзе;39
761;761;585;ул. Ясная;1, корп. 1
764;764;591;ул. Пирогова;13, стр.1
766;766;218;ул. Советская;15
775;775;1963;ул. Заповедная;2
4;4;1172;ул. Крымская;1
8;8;417;ул. Костюкова;13А
29;29;330;ул. Заводская;29
34;34;301;ул. Молодёжная;10
41;41;634;пер. 17-й Новый;1а
42;42;1381;ул. Рядового Иванова;2
51;51;58;ул. Александровская;81
53;53;706;ул. Первомайская;34
59;59;92;ул. Железнодорожная;24
66;66;98;ул. Викулова;57А
70;70;462;ул. Есенина;13
75;75;424;ул. Байбакова;21
77;77;572;ул. 18-й микрорайон;19
80;80;506;ул. Зорге;70/1
84;84;82;ул. Базовская;15
93;93;19;пр-т. Ленина;15
94;94;1570;ул. Валдайская;4 к.2
99;99;169;Октябрьская наб.;34к2
109;109;82;Алтуфьевское шоссе;72
126;126;82;пр. Черепановых;32
130;130;18;ул. Усть-Курдюмская;1
139;139;1560;ул. Лесная;17
142;142;347;ул. Богдана Хмельницкого;73А
143;143;569;ул. Патона;3
190;190;111;ул. Зои Космодемьянской;3
192;192;200;ул. Пролетарская;71
193;193;1632;ул. Школьная;01.фев
197;197;82;ул. Коминтерна;4
207;207;1355;ул. Гагарина;89Д
223;223;343;ул. Молодогвардейская;2Б/3
225;225;341;ул. Галактионова;6
247;247;1785;ул. Новая;11А
260;260;494;ул. Первомайская;71/1
261;261;82;Проспект Мира;184
262;262;2130;ул. Дорожная;57
282;282;65;ул. Ковтюха;158
301;301;178;Тюменский тракт;8
308;308;45;пер. Банковский;2Б
319;319;342;Проспект  Мусы Джалиля;66
322;322;1464;ул. Почтовая;34
325;325;411;ул. Говорова;27А
334;334;82;ул. Авангардная;12
341;341;1821;УЛ. МАРИНЕСКО;1Б/2
346;346;510;ул. Рабочая;5
348;348;102;ул. Байкальская;346/8
354;354;942;ул. Ленина;39
356;356;432;ул. Триумфальная;3
360;360;249;ул. Пальмиро Тольятти;178
414;414;96;ул. Фридриха Энгельса;18
428;428;98;ул. Степана Разина;80
436;436;943;ул. Зенкова;22
446;446;494;ул. Комарова;8
456;456;570;ул. Комсомольская;2
461;461;494;ул. Гвардейская;39А
465;465;82;ул. Оренбургская;18
490;490;169;ул. Александра Матросова;8к5
493;493;634;ул Транспортная;48
502;502;341;ул. Техническая;23А
513;513;623;ул. Белобородова;2
516;516;430;ул. Банковская;4а
519;519;570;ул. Кропоткина;271
522;522;82;пер. 1-й Волконский;15
531;531;388;ул. Московская;27.янв
560;560;101;ул. Мате Залки;7
575;575;452;ул. 40-лет Октября;1
581;581;564;ул. Советская;35
604;604;82;ФЕДЕРАТИВНЫЙ ПР-КТ;9, корпус 2
